"ObjetoOriginal","ObjetoNovo"
"ZDM_ID_ORDEX","ZESZDM_ID_ORDEX"
"ZE_1BNETQTY","ZESZE_1BNETQTY"
"ZDM_TP_ENC_MDFE","ZESZDM_TP_ENC_MDFE"
"ZDE_CANC_VIAGEM","ZESZDE_CANC_VIAGEM"
"ZRESID_IOF","ZESZRESID_IOF"
"ZIB_CTE_DIST_DUP","ZESZIB_CTE_DIST_DUP"
"ZIB_CTE_DIST_DUP_T","ZESZIB_CTE_DIST_DUP_T"
"Z_MEMO_OBS","ZESZ_MEMO_OBS"
"ZPPED011","ZESZPPED011"
"ZQTD_NF","ZESZQTD_NF"
"ZDE_VLR_FATURA2","ZESZDE_VLR_FATURA2"
"ZDM_LOTE_FORN","ZESZDM_LOTE_FORN"
"ZEPM_VALOR_ANT","ZESZEPM_VALOR_ANT"
"ZXNFE_IF_CTE_TPUNIDTRANSP","ZESZXNFE_IF_CTE_TPUNIDTRANSP"
"ZDM_VLR_KG_TRANS","ZESZDM_VLR_KG_TRANS"
"ZPMD009","ZESZPMD009"
"ZVIP_INVOICE_STATUS","ZESZVIP_INVOICE_STATUS"
"ZIMPCODGUIA","ZESZIMPCODGUIA"
"ZDE_USUARIO_BI","ZESZDE_USUARIO_BI"
"ZPPE_DOC_MR22","ZESZPPE_DOC_MR22"
"ZTIPO_CARGA","ZESZTIPO_CARGA"
"ZNR_QTD_IMPUREZA","ZESZNR_QTD_IMPUREZA"
"ZDE_VLR_SALDO_FRETE","ZESZDE_VLR_SALDO_FRETE"
"ZWERTV8","ZESZWERTV8"
"ZFIE_VIP_COMPANYTYPE","ZESZFIE_VIP_COMPANYTYPE"
"ZDE_NM_CAMPO","ZESZDE_NM_CAMPO"
"ZDE_NM_PESO_EMBALAGEM","ZESZDE_NM_PESO_EMBALAGEM"
"ZDE_DS_CLIENTE","ZESZDE_DS_CLIENTE"
"ZDE_VLR_SLD_CC_ADTO","ZESZDE_VLR_SLD_CC_ADTO"
"Z_PRAZO_INICIO","ZESZ_PRAZO_INICIO"
"ZPMD001","ZESZPMD001"
"ZDE_DS_AGPESO_FORN","ZESZDE_DS_AGPESO_FORN"
"ZDE_CK_ALTEROU","ZESZDE_CK_ALTEROU"
"ZVALOR_CORR","ZESZVALOR_CORR"
"ZSEQ_INST","ZESZSEQ_INST"
"ZDESCR_FUNC","ZESZDESCR_FUNC"
"ZSDED_TP_DISPARO","ZESZSDED_TP_DISPARO"
"ZDEFI_TP_NEG","ZESZDEFI_TP_NEG"
"ZSDED045","ZESZSDED045"
"ZCTAFRETE","ZESZCTAFRETE"
"ZSYUZEIT_M","ZESZSYUZEIT_M"
"ZNR_VRS","ZESZNR_VRS"
"ZALIQUOTA","ZESZALIQUOTA"
"ZQTDFIXC","ZESZQTDFIXC"
"ZDE_STATUS_CAD","ZESZDE_STATUS_CAD"
"ZPESO_ORIGEM","ZESZPESO_ORIGEM"
"ZED_DMBTR","ZESZED_DMBTR"
"ZDE_CK_ACEITE_FISCAL","ZESZDE_CK_ACEITE_FISCAL"
"ZDESTI","ZESZDESTI"
"ZVLR_REAL","ZESZVLR_REAL"
"ZDE_SENHA_BI","ZESZDE_SENHA_BI"
"ZDE_DT_PRIMEIRA_TRANSF","ZESZDE_DT_PRIMEIRA_TRANSF"
"ZDM_ST_MSG","ZESZDM_ST_MSG"
"ZFIWED009","ZESZFIWED009"
"ZDE_NR_AVERBACAO","ZESZDE_NR_AVERBACAO"
"ZDE_PESO_MEDIO_KG","ZESZDE_PESO_MEDIO_KG"
"ZDEPP_DT_APROV","ZESZDEPP_DT_APROV"
"ZDM_NR_RESULTADO_GMO","ZESZDM_NR_RESULTADO_GMO"
"ZDE_DS_PORTA","ZESZDE_DS_PORTA"
"Z_SALDO","ZESZ_SALDO"
"ZSDE_VBELN_OV","ZESZSDE_VBELN_OV"
